,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9
1987.076923076923,5.0,3.0,2.0,8.0,5.0,2.0,7.0,3.0,5.0
1987.1538461538462,8.0,4.0,2.0,4.0,8.0,2.0,10.0,3.0,4.0
1987.2307692307693,8.0,0.0,8.0,7.0,14.0,2.0,8.0,5.0,6.0
1987.3076923076924,13.0,3.0,8.0,9.0,15.0,0.0,2.0,4.0,5.0
1987.3846153846155,19.0,3.0,11.0,7.0,9.0,1.0,4.0,2.0,8.0
1987.4615384615386,18.0,5.0,9.0,5.0,14.0,3.0,5.0,4.0,4.0
1987.5384615384614,28.0,2.0,5.0,7.0,4.0,5.0,10.0,4.0,1.0
1987.6153846153845,21.0,1.0,7.0,6.0,7.0,4.0,5.0,3.0,6.0
1987.6923076923076,17.0,5.0,6.0,3.0,4.0,2.0,1.0,2.0,2.0
1987.7692307692307,5.0,3.0,6.0,1.0,5.0,1.0,5.0,2.0,3.0
1987.8461538461538,9.0,1.0,2.0,4.0,8.0,2.0,1.0,1.0,3.0
1987.923076923077,2.0,0.0,3.0,5.0,5.0,1.0,0.0,1.0,2.0
1988.0,16.0,8.0,2.0,6.0,5.0,4.0,1.0,0.0,6.0
1988.076923076923,11.0,5.0,2.0,9.0,10.0,3.0,2.0,0.0,4.0
1988.1538461538462,10.0,2.0,1.0,3.0,10.0,2.0,1.0,1.0,6.0
1988.2307692307693,7.0,2.0,4.0,3.0,5.0,5.0,1.0,0.0,3.0
1988.3076923076924,6.0,3.0,5.0,3.0,5.0,3.0,0.0,1.0,3.0
1988.3846153846155,5.0,5.0,4.0,1.0,5.0,1.0,2.0,2.0,3.0
1988.4615384615386,7.0,4.0,2.0,5.0,3.0,2.0,2.0,0.0,3.0
1988.5384615384614,3.0,2.0,0.0,1.0,6.0,2.0,5.0,0.0,5.0
1988.6153846153845,1.0,1.0,0.0,3.0,4.0,1.0,0.0,2.0,1.0
1988.6923076923076,4.0,2.0,4.0,5.0,4.0,1.0,0.0,0.0,5.0
1988.7692307692307,9.0,1.0,3.0,3.0,5.0,1.0,0.0,2.0,1.0
1988.8461538461538,7.0,3.0,9.0,5.0,10.0,1.0,2.0,5.0,1.0
1988.923076923077,5.0,3.0,5.0,3.0,11.0,4.0,3.0,1.0,4.0
1989.0,5.0,2.0,5.0,4.0,6.0,2.0,0.0,5.0,1.0
1989.076923076923,2.0,2.0,3.0,2.0,5.0,6.0,0.0,0.0,0.0
1989.1538461538462,1.0,0.0,2.0,3.0,5.0,4.0,0.0,2.0,1.0
1989.2307692307693,4.0,1.0,4.0,4.0,3.0,0.0,1.0,0.0,4.0
1989.3076923076924,3.0,0.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0
1989.3846153846155,4.0,3.0,0.0,3.0,4.0,0.0,1.0,1.0,3.0
1989.4615384615386,5.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0
1989.5384615384614,3.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0
1989.6153846153845,2.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0
1989.6923076923076,2.0,1.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0
1989.7692307692307,7.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0
1989.8461538461538,1.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0
1989.923076923077,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
1990.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0
1990.076923076923,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
1990.1538461538462,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0
1990.2307692307693,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1990.3076923076924,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0
1990.3846153846155,3.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0
1990.4615384615386,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1990.5384615384614,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0
1990.6153846153845,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1990.6923076923076,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0
1990.7692307692307,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
