,N_f,N_i,N_rd,N_rs,R0_f,R0_i,R0_ramp,R0_rd,R0_rs,T,bb_a,eta_f,eta_i,eta_rd,eta_rs,folder,force,gamma,rdis,rho,rn,rp_f,rp_i,rp_rd,rp_rs,runs,sa,seed,ts,v_f,v_i,v_rd,v_rs
2741,881359.6995549336,881359.6995549336,10,10,0.4838146014398864,0.4838146014398864,ou,10.0,10,20,2.8807528304786807,0.03697434858485022,0.03697434858485022,10.0,10,./data/,none,0.1667,100,0.0769,data_2741,0.011869748823445183,0.011869748823445183,10,10,270,0.3,553722,7,0.0,0.0,10,10
2742,219392.1968462369,219392.1968462369,10,10,0.8667675478599306,0.8667675478599306,ou,10.0,10,20,2.6738376043536105,0.12711119646289107,0.12711119646289107,10.0,10,./data/,none,0.1667,100,0.0769,data_2742,0.04226373410266005,0.04226373410266005,10,10,270,0.3,305519,7,0.0,0.0,10,10
2743,2259279.6781907105,2259279.6781907105,10,10,0.5808168289171939,0.5808168289171939,ou,10.0,10,20,0.5441531671535083,0.04032651624348979,0.04032651624348979,10.0,10,./data/,none,0.1667,100,0.0769,data_2743,0.4199945326334319,0.4199945326334319,10,10,270,0.3,773019,7,0.0,0.0,10,10
2744,1367159.842322791,1367159.842322791,10,10,0.2947016400208453,0.2947016400208453,ou,10.0,10,20,4.104057857009198,0.6664090466975172,0.6664090466975172,10.0,10,./data/,none,0.1667,100,0.0769,data_2744,0.3712868377170104,0.3712868377170104,10,10,270,0.3,501979,7,0.0,0.0,10,10
2745,3364349.552054147,3364349.552054147,10,10,0.42542562122629557,0.42542562122629557,ou,10.0,10,20,2.8131924165804074,0.06159856928630836,0.06159856928630836,10.0,10,./data/,none,0.1667,100,0.0769,data_2745,0.45091957335998983,0.45091957335998983,10,10,270,0.3,577901,7,0.0,0.0,10,10
2746,2078774.0851830742,2078774.0851830742,10,10,0.8727298569172416,0.8727298569172416,ou,10.0,10,20,0.7849560607980182,0.04116745006885582,0.04116745006885582,10.0,10,./data/,none,0.1667,100,0.0769,data_2746,0.23432723228677274,0.23432723228677274,10,10,270,0.3,930354,7,0.0,0.0,10,10
2747,287866.0115206849,287866.0115206849,10,10,0.8405413876530771,0.8405413876530771,ou,10.0,10,20,0.31802088487036245,0.03708100986543399,0.03708100986543399,10.0,10,./data/,none,0.1667,100,0.0769,data_2747,0.3110272940636717,0.3110272940636717,10,10,270,0.3,462605,7,0.0,0.0,10,10
2748,1985254.824698602,1985254.824698602,10,10,0.693648626354213,0.693648626354213,ou,10.0,10,20,2.1688166004968714,0.2111476059386789,0.2111476059386789,10.0,10,./data/,none,0.1667,100,0.0769,data_2748,0.13397600353118908,0.13397600353118908,10,10,270,0.3,301146,7,0.0,0.0,10,10
2749,66535.61401999454,66535.61401999454,10,10,0.8163370844661968,0.8163370844661968,ou,10.0,10,20,1.9519118734345131,0.0427745379736349,0.0427745379736349,10.0,10,./data/,none,0.1667,100,0.0769,data_2749,0.04201485608587355,0.04201485608587355,10,10,270,0.3,987219,7,0.0,0.0,10,10
2750,105761.22805990739,105761.22805990739,10,10,0.8962386933148453,0.8962386933148453,ou,10.0,10,20,0.2673951819513484,0.0748965652628609,0.0748965652628609,10.0,10,./data/,none,0.1667,100,0.0769,data_2750,0.20331815198848144,0.20331815198848144,10,10,270,0.3,580064,7,0.0,0.0,10,10
2751,1152677.6770679597,1152677.6770679597,10,10,0.405708033685913,0.405708033685913,ou,10.0,10,20,0.5051561923080887,0.07183597993339143,0.07183597993339143,10.0,10,./data/,none,0.1667,100,0.0769,data_2751,0.030278144796723597,0.030278144796723597,10,10,270,0.3,884087,7,0.0,0.0,10,10
2752,1686719.415562723,1686719.415562723,10,10,0.7428629002629008,0.7428629002629008,ou,10.0,10,20,2.643405152532331,0.047057010694517315,0.047057010694517315,10.0,10,./data/,none,0.1667,100,0.0769,data_2752,0.19129312211031674,0.19129312211031674,10,10,270,0.3,2162,7,0.0,0.0,10,10
2753,991914.9493656808,991914.9493656808,10,10,0.884486100142317,0.884486100142317,ou,10.0,10,20,3.0253142323114215,0.12972616536026793,0.12972616536026793,10.0,10,./data/,none,0.1667,100,0.0769,data_2753,0.03689402772198784,0.03689402772198784,10,10,270,0.3,921316,7,0.0,0.0,10,10
2754,311528.20960901154,311528.20960901154,10,10,0.8954837463779655,0.8954837463779655,ou,10.0,10,20,0.30556960623819884,0.08460188431455189,0.08460188431455189,10.0,10,./data/,none,0.1667,100,0.0769,data_2754,0.3052262723132973,0.3052262723132973,10,10,270,0.3,1036795,7,0.0,0.0,10,10
2755,4463580.882138211,4463580.882138211,10,10,0.5750791198591729,0.5750791198591729,ou,10.0,10,20,4.193237444215726,0.053669564947134714,0.053669564947134714,10.0,10,./data/,none,0.1667,100,0.0769,data_2755,0.16103931417253484,0.16103931417253484,10,10,270,0.3,440697,7,0.0,0.0,10,10
2756,75175.56341909639,75175.56341909639,10,10,0.2987736970973812,0.2987736970973812,ou,10.0,10,20,1.678811814277017,0.09553561952216788,0.09553561952216788,10.0,10,./data/,none,0.1667,100,0.0769,data_2756,0.2404274578864143,0.2404274578864143,10,10,270,0.3,234265,7,0.0,0.0,10,10
2757,734393.0339053689,734393.0339053689,10,10,0.8545945260696308,0.8545945260696308,ou,10.0,10,20,2.274746621977912,0.26786889346335546,0.26786889346335546,10.0,10,./data/,none,0.1667,100,0.0769,data_2757,0.028461226101540595,0.028461226101540595,10,10,270,0.3,53652,7,0.0,0.0,10,10
2758,2690396.584302924,2690396.584302924,10,10,0.31386224494977955,0.31386224494977955,ou,10.0,10,20,0.4870820754679927,0.20616676787272492,0.20616676787272492,10.0,10,./data/,none,0.1667,100,0.0769,data_2758,0.11880837475467819,0.11880837475467819,10,10,270,0.3,561926,7,0.0,0.0,10,10
2759,4568691.993916544,4568691.993916544,10,10,0.8989781359890895,0.8989781359890895,ou,10.0,10,20,2.3080727642195074,0.09042491942914486,0.09042491942914486,10.0,10,./data/,none,0.1667,100,0.0769,data_2759,0.14159971123690018,0.14159971123690018,10,10,270,0.3,202064,7,0.0,0.0,10,10
2760,619448.7615945005,619448.7615945005,10,10,0.7231646672927505,0.7231646672927505,ou,10.0,10,20,1.708667308836076,0.11957705363003401,0.11957705363003401,10.0,10,./data/,none,0.1667,100,0.0769,data_2760,0.44087787165253145,0.44087787165253145,10,10,270,0.3,564491,7,0.0,0.0,10,10
2761,427922.67464215745,427922.67464215745,10,10,0.5743796837064912,0.5743796837064912,ou,10.0,10,20,2.491097590269237,0.053594912267972375,0.053594912267972375,10.0,10,./data/,none,0.1667,100,0.0769,data_2761,0.021702419807259614,0.021702419807259614,10,10,270,0.3,930193,7,0.0,0.0,10,10
2762,706801.729423438,706801.729423438,10,10,0.47422840206266514,0.47422840206266514,ou,10.0,10,20,1.2027554213294867,0.3429148986818212,0.3429148986818212,10.0,10,./data/,none,0.1667,100,0.0769,data_2762,0.1779337175337565,0.1779337175337565,10,10,270,0.3,673737,7,0.0,0.0,10,10
2763,110333.13925991167,110333.13925991167,10,10,0.8855687604620067,0.8855687604620067,ou,10.0,10,20,1.3573431627783998,0.12236331499641002,0.12236331499641002,10.0,10,./data/,none,0.1667,100,0.0769,data_2763,0.2753491365486725,0.2753491365486725,10,10,270,0.3,766472,7,0.0,0.0,10,10
2764,2448391.257466749,2448391.257466749,10,10,0.6064336188781274,0.6064336188781274,ou,10.0,10,20,2.9024383149958686,0.41527752213594216,0.41527752213594216,10.0,10,./data/,none,0.1667,100,0.0769,data_2764,0.13632901268717904,0.13632901268717904,10,10,270,0.3,428750,7,0.0,0.0,10,10
2765,3612979.5545776263,3612979.5545776263,10,10,0.32500842401563523,0.32500842401563523,ou,10.0,10,20,0.9666433919759254,0.09245798966329496,0.09245798966329496,10.0,10,./data/,none,0.1667,100,0.0769,data_2765,0.02095621580586466,0.02095621580586466,10,10,270,0.3,516732,7,0.0,0.0,10,10
2766,509059.01765673625,509059.01765673625,10,10,0.4525346167992633,0.4525346167992633,ou,10.0,10,20,0.7062444171057518,0.21622835292974488,0.21622835292974488,10.0,10,./data/,none,0.1667,100,0.0769,data_2766,0.15816149637981142,0.15816149637981142,10,10,270,0.3,646217,7,0.0,0.0,10,10
2767,326541.8919441263,326541.8919441263,10,10,0.5176268605172785,0.5176268605172785,ou,10.0,10,20,1.8132511386908057,0.03843332256914584,0.03843332256914584,10.0,10,./data/,none,0.1667,100,0.0769,data_2767,0.21341954174329958,0.21341954174329958,10,10,270,0.3,658518,7,0.0,0.0,10,10
2768,633004.0349998273,633004.0349998273,10,10,0.17244281011359408,0.17244281011359408,ou,10.0,10,20,1.295075088939428,0.04695656119616958,0.04695656119616958,10.0,10,./data/,none,0.1667,100,0.0769,data_2768,0.30387615642505555,0.30387615642505555,10,10,270,0.3,578878,7,0.0,0.0,10,10
2769,1271391.895724231,1271391.895724231,10,10,0.5913733697698546,0.5913733697698546,ou,10.0,10,20,0.4225702134274474,0.03480333267872196,0.03480333267872196,10.0,10,./data/,none,0.1667,100,0.0769,data_2769,0.4820164602890518,0.4820164602890518,10,10,270,0.3,229954,7,0.0,0.0,10,10
2770,489370.7622974267,489370.7622974267,10,10,0.2843826445559215,0.2843826445559215,ou,10.0,10,20,0.7716353211428806,0.18373030133118237,0.18373030133118237,10.0,10,./data/,none,0.1667,100,0.0769,data_2770,0.19630670782709944,0.19630670782709944,10,10,270,0.3,163198,7,0.0,0.0,10,10
2771,3082838.3647824433,3082838.3647824433,10,10,0.49972314081381186,0.49972314081381186,ou,10.0,10,20,0.6276711273589741,0.05368409672393421,0.05368409672393421,10.0,10,./data/,none,0.1667,100,0.0769,data_2771,0.2796595201561973,0.2796595201561973,10,10,270,0.3,44110,7,0.0,0.0,10,10
2772,1526209.1500178827,1526209.1500178827,10,10,0.2526398673265593,0.2526398673265593,ou,10.0,10,20,4.3250834555533375,0.09745500265862653,0.09745500265862653,10.0,10,./data/,none,0.1667,100,0.0769,data_2772,0.05754074492093947,0.05754074492093947,10,10,270,0.3,168100,7,0.0,0.0,10,10
2773,194962.2584132468,194962.2584132468,10,10,0.6071007850953393,0.6071007850953393,ou,10.0,10,20,0.46295640655936093,0.07055088871518202,0.07055088871518202,10.0,10,./data/,none,0.1667,100,0.0769,data_2773,0.28017440613248856,0.28017440613248856,10,10,270,0.3,483392,7,0.0,0.0,10,10
2774,4387462.149258886,4387462.149258886,10,10,0.3640713138442365,0.3640713138442365,ou,10.0,10,20,0.6130051726705835,0.036107915034171316,0.036107915034171316,10.0,10,./data/,none,0.1667,100,0.0769,data_2774,0.04553199608289797,0.04553199608289797,10,10,270,0.3,965397,7,0.0,0.0,10,10
2775,2473453.3250562265,2473453.3250562265,10,10,0.82132933025851,0.82132933025851,ou,10.0,10,20,3.9813080087932207,0.1050133048499599,0.1050133048499599,10.0,10,./data/,none,0.1667,100,0.0769,data_2775,0.34906252921779674,0.34906252921779674,10,10,270,0.3,358263,7,0.0,0.0,10,10
2776,278327.8705254196,278327.8705254196,10,10,0.5877923636711205,0.5877923636711205,ou,10.0,10,20,0.9766543675044737,0.03934278582863805,0.03934278582863805,10.0,10,./data/,none,0.1667,100,0.0769,data_2776,0.15596061913017173,0.15596061913017173,10,10,270,0.3,618461,7,0.0,0.0,10,10
2777,92599.19828448232,92599.19828448232,10,10,0.17404517834023187,0.17404517834023187,ou,10.0,10,20,1.332678007592718,0.07827267168369702,0.07827267168369702,10.0,10,./data/,none,0.1667,100,0.0769,data_2777,0.09009572871810571,0.09009572871810571,10,10,270,0.3,529616,7,0.0,0.0,10,10
2778,2349777.217560028,2349777.217560028,10,10,0.31629212502397286,0.31629212502397286,ou,10.0,10,20,0.714830535948203,0.035230368132817706,0.035230368132817706,10.0,10,./data/,none,0.1667,100,0.0769,data_2778,0.37177887780737023,0.37177887780737023,10,10,270,0.3,724506,7,0.0,0.0,10,10
2779,2778241.7773709446,2778241.7773709446,10,10,0.7805377887383468,0.7805377887383468,ou,10.0,10,20,0.618552107972351,0.03532222712051971,0.03532222712051971,10.0,10,./data/,none,0.1667,100,0.0769,data_2779,0.457388671837736,0.457388671837736,10,10,270,0.3,759662,7,0.0,0.0,10,10
2780,1194404.869217288,1194404.869217288,10,10,0.5062801912966545,0.5062801912966545,ou,10.0,10,20,0.23199022543836065,0.08540643188802056,0.08540643188802056,10.0,10,./data/,none,0.1667,100,0.0769,data_2780,0.12117830364486396,0.12117830364486396,10,10,270,0.3,793138,7,0.0,0.0,10,10
2781,1483672.7832582758,1483672.7832582758,10,10,0.22822038772303163,0.22822038772303163,ou,10.0,10,20,0.9844129218441235,0.1736143967634808,0.1736143967634808,10.0,10,./data/,none,0.1667,100,0.0769,data_2781,0.1225796698929004,0.1225796698929004,10,10,270,0.3,1004356,7,0.0,0.0,10,10
2782,285671.50058529637,285671.50058529637,10,10,0.8968282332263056,0.8968282332263056,ou,10.0,10,20,0.8906216097131032,0.11584231944380362,0.11584231944380362,10.0,10,./data/,none,0.1667,100,0.0769,data_2782,0.31904574015536635,0.31904574015536635,10,10,270,0.3,644117,7,0.0,0.0,10,10
2783,60794.59755366214,60794.59755366214,10,10,0.18348427706296017,0.18348427706296017,ou,10.0,10,20,4.48772353394327,0.03764091792886791,0.03764091792886791,10.0,10,./data/,none,0.1667,100,0.0769,data_2783,0.3444896510944627,0.3444896510944627,10,10,270,0.3,176281,7,0.0,0.0,10,10
2784,166572.13917334954,166572.13917334954,10,10,0.7430655963609358,0.7430655963609358,ou,10.0,10,20,1.6011457927135062,0.060282162009305425,0.060282162009305425,10.0,10,./data/,none,0.1667,100,0.0769,data_2784,0.05499116047544757,0.05499116047544757,10,10,270,0.3,560340,7,0.0,0.0,10,10
2785,2640524.0016874974,2640524.0016874974,10,10,0.5355499761588087,0.5355499761588087,ou,10.0,10,20,0.689186165979888,0.045682325041800975,0.045682325041800975,10.0,10,./data/,none,0.1667,100,0.0769,data_2785,0.33495114352736666,0.33495114352736666,10,10,270,0.3,729587,7,0.0,0.0,10,10
2786,4609509.190181331,4609509.190181331,10,10,0.15533195678855835,0.15533195678855835,ou,10.0,10,20,0.306437193443608,0.052786477535739854,0.052786477535739854,10.0,10,./data/,none,0.1667,100,0.0769,data_2786,0.40899478314929993,0.40899478314929993,10,10,270,0.3,104757,7,0.0,0.0,10,10
2787,798354.5895378203,798354.5895378203,10,10,0.8963457377809882,0.8963457377809882,ou,10.0,10,20,0.6666854934064378,0.1079120968341726,0.1079120968341726,10.0,10,./data/,none,0.1667,100,0.0769,data_2787,0.3518909964145412,0.3518909964145412,10,10,270,0.3,453702,7,0.0,0.0,10,10
2788,106832.8767647226,106832.8767647226,10,10,0.45967077438630466,0.45967077438630466,ou,10.0,10,20,3.152041578532091,0.04059953468296307,0.04059953468296307,10.0,10,./data/,none,0.1667,100,0.0769,data_2788,0.4658769724767,0.4658769724767,10,10,270,0.3,514488,7,0.0,0.0,10,10
2789,82585.90014560576,82585.90014560576,10,10,0.5034227741984242,0.5034227741984242,ou,10.0,10,20,0.9109420394319683,0.09062600218409671,0.09062600218409671,10.0,10,./data/,none,0.1667,100,0.0769,data_2789,0.3929864523238837,0.3929864523238837,10,10,270,0.3,668891,7,0.0,0.0,10,10
2790,4585517.088555717,4585517.088555717,10,10,0.5498340535738148,0.5498340535738148,ou,10.0,10,20,4.357536631103151,0.04719767398341982,0.04719767398341982,10.0,10,./data/,none,0.1667,100,0.0769,data_2790,0.3649676534700097,0.3649676534700097,10,10,270,0.3,540942,7,0.0,0.0,10,10
2791,193371.9279396725,193371.9279396725,10,10,0.8190627070847359,0.8190627070847359,ou,10.0,10,20,0.9684316413696934,0.053873909237474864,0.053873909237474864,10.0,10,./data/,none,0.1667,100,0.0769,data_2791,0.34613763149123633,0.34613763149123633,10,10,270,0.3,194117,7,0.0,0.0,10,10
2792,597509.3655718446,597509.3655718446,10,10,0.8632656347481287,0.8632656347481287,ou,10.0,10,20,1.8951317025440861,0.04331214575356119,0.04331214575356119,10.0,10,./data/,none,0.1667,100,0.0769,data_2792,0.300633210600921,0.300633210600921,10,10,270,0.3,739774,7,0.0,0.0,10,10
2793,1001433.9498365202,1001433.9498365202,10,10,0.5212780087176854,0.5212780087176854,ou,10.0,10,20,4.738831082782365,0.04648433533954628,0.04648433533954628,10.0,10,./data/,none,0.1667,100,0.0769,data_2793,0.021106632211777644,0.021106632211777644,10,10,270,0.3,370722,7,0.0,0.0,10,10
2794,783241.204332361,783241.204332361,10,10,0.8959468295672586,0.8959468295672586,ou,10.0,10,20,0.2971202271438068,0.13611532929252673,0.13611532929252673,10.0,10,./data/,none,0.1667,100,0.0769,data_2794,0.3021414425235393,0.3021414425235393,10,10,270,0.3,862096,7,0.0,0.0,10,10
2795,370217.3199238302,370217.3199238302,10,10,0.6624597234118919,0.6624597234118919,ou,10.0,10,20,0.738471375341861,0.07393099154468452,0.07393099154468452,10.0,10,./data/,none,0.1667,100,0.0769,data_2795,0.3753191045349556,0.3753191045349556,10,10,270,0.3,754105,7,0.0,0.0,10,10
2796,100076.07204034172,100076.07204034172,10,10,0.5137675447366115,0.5137675447366115,ou,10.0,10,20,0.6200109931234017,0.16876206834664945,0.16876206834664945,10.0,10,./data/,none,0.1667,100,0.0769,data_2796,0.38398701511396166,0.38398701511396166,10,10,270,0.3,152922,7,0.0,0.0,10,10
2797,1123928.6558006913,1123928.6558006913,10,10,0.8479053739894897,0.8479053739894897,ou,10.0,10,20,2.7590622260865834,0.08295454018320918,0.08295454018320918,10.0,10,./data/,none,0.1667,100,0.0769,data_2797,0.06085777137321724,0.06085777137321724,10,10,270,0.3,1039371,7,0.0,0.0,10,10
2798,4881402.742138433,4881402.742138433,10,10,0.5950051296766633,0.5950051296766633,ou,10.0,10,20,2.9984633767581412,0.03474819521290403,0.03474819521290403,10.0,10,./data/,none,0.1667,100,0.0769,data_2798,0.01314083782865774,0.01314083782865774,10,10,270,0.3,1040508,7,0.0,0.0,10,10
2799,2534177.211437092,2534177.211437092,10,10,0.4296411649081099,0.4296411649081099,ou,10.0,10,20,3.113155769624777,0.06561143381319774,0.06561143381319774,10.0,10,./data/,none,0.1667,100,0.0769,data_2799,0.3661440449110968,0.3661440449110968,10,10,270,0.3,327090,7,0.0,0.0,10,10
2800,3249951.0579642886,3249951.0579642886,10,10,0.43377854362625223,0.43377854362625223,ou,10.0,10,20,0.8413617274876448,0.03364369436651789,0.03364369436651789,10.0,10,./data/,none,0.1667,100,0.0769,data_2800,0.47262433874257465,0.47262433874257465,10,10,270,0.3,610899,7,0.0,0.0,10,10
2801,538516.3274289703,538516.3274289703,10,10,0.8151275365349805,0.8151275365349805,ou,10.0,10,20,0.729289579399125,0.16764099944148536,0.16764099944148536,10.0,10,./data/,none,0.1667,100,0.0769,data_2801,0.3968173000725747,0.3968173000725747,10,10,270,0.3,155745,7,0.0,0.0,10,10
2802,684819.9574453238,684819.9574453238,10,10,0.654453779797569,0.654453779797569,ou,10.0,10,20,2.4175864541305296,0.07063375625699946,0.07063375625699946,10.0,10,./data/,none,0.1667,100,0.0769,data_2802,0.17396921845262656,0.17396921845262656,10,10,270,0.3,558938,7,0.0,0.0,10,10
2803,54393.99617875514,54393.99617875514,10,10,0.7718794724189157,0.7718794724189157,ou,10.0,10,20,0.2559600764596391,0.04427128508479352,0.04427128508479352,10.0,10,./data/,none,0.1667,100,0.0769,data_2803,0.2975857528823743,0.2975857528823743,10,10,270,0.3,553628,7,0.0,0.0,10,10
