Time,mean,index_of_dispersion,autocorrelation,coefficient_of_variation,kurtosis,skewness,standard_deviation,ac2,timeseries,all
5000.5,0.5310308399999999,0.5294574400000001,0.56644472,0.48420152000000005,0.5219398000000001,0.57210556,0.53176832,0.56235236,0.5411555600000001,0.64573412
5028.5,0.5317628400000001,0.53004984,0.56874504,0.48350612,0.5217208799999999,0.5728960000000001,0.53247504,0.56612056,0.5448766800000001,0.64769696
5056.5,0.53242644,0.5305546400000001,0.57050196,0.48293716000000003,0.52183348,0.5739580799999999,0.53309428,0.56738904,0.5453119399999999,0.6501467599999999
5084.5,0.53311464,0.53127988,0.5725541599999999,0.48259196,0.52313432,0.57632388,0.5338488800000001,0.5697034000000001,0.5488879,0.65344852
5112.5,0.5338646,0.5318084,0.5742083600000001,0.48171588,0.52414172,0.57780836,0.53450208,0.5726357200000001,0.55094076,0.6568061599999999
5140.5,0.53471852,0.5326725999999999,0.5756884,0.48165792,0.5239816399999999,0.5789344399999999,0.53538112,0.57465248,0.5462262,0.6596436800000001
5168.5,0.53558952,0.53334324,0.5776918,0.48075524,0.524308,0.58034296,0.536156,0.57647384,0.5548024800000001,0.66273644
5196.5,0.53655444,0.53434636,0.58064204,0.48030211999999994,0.52536476,0.5827026000000001,0.5371840000000001,0.5792370800000001,0.5542649,0.66670304
5224.5,0.5374277199999999,0.5351598399999999,0.5834482400000001,0.47976604,0.52699304,0.58504,0.53806756,0.58173332,0.55572996,0.67106788
5252.5,0.53834284,0.53573132,0.5853572,0.47890760000000004,0.5258470399999999,0.58578176,0.5388354799999999,0.58368552,0.55890228,0.6737559599999999
5280.5,0.53933908,0.53650544,0.5880372,0.47809252,0.52641124,0.58773968,0.53976744,0.58732976,0.56170944,0.67734164
5308.5,0.54027104,0.53709292,0.5895125999999999,0.47714112000000003,0.5263832799999999,0.5885923200000001,0.54056916,0.58836784,0.56187742,0.6791250400000001
5336.5,0.54113608,0.53764504,0.59094192,0.47626759999999996,0.52642504,0.58967952,0.5413350399999999,0.5898696800000001,0.55976584,0.6819824400000001
5364.5,0.54190676,0.53856912,0.59339304,0.47611948,0.5262684000000001,0.5912706400000001,0.5422357200000001,0.59165012,0.5512488799999999,0.68539052
5392.5,0.5430354,0.53921508,0.595089,0.4748774,0.52602932,0.5929317599999999,0.54320692,0.59469216,0.5720157399999999,0.69004016
5420.5,0.5438518,0.5398778399999999,0.5973945199999999,0.474091,0.52633004,0.59416456,0.54399392,0.59547196,0.5593379600000001,0.6929624400000001
5448.5,0.5447732000000001,0.5407886,0.5993680399999999,0.473646,0.5259034,0.59497804,0.54494308,0.59776668,0.5633035199999998,0.69555664
5476.5,0.54572224,0.54164324,0.6022518,0.47320216000000004,0.526983,0.59719076,0.54586004,0.5987604,0.5657732,0.69891572
5504.5,0.54655772,0.5422926,0.60506824,0.4721858,0.52704856,0.59761692,0.54667816,0.60104416,0.56449476,0.7008336399999999
5532.5,0.54756096,0.5428732000000001,0.6049499199999999,0.47103923999999997,0.5272578,0.59893668,0.5474978,0.60279112,0.5695839599999999,0.7038895999999999
5560.5,0.54836332,0.54334604,0.60691532,0.47001968,0.52806612,0.6000447600000001,0.5481744,0.60423564,0.5667617400000001,0.70721848
5588.5,0.54927444,0.5439789199999999,0.6084910800000001,0.46890136,0.52707516,0.60058156,0.5489808,0.6058290399999999,0.5682710799999999,0.7095924800000001
5616.5,0.55018704,0.54485008,0.61090464,0.46854123999999997,0.5283063200000001,0.6022594,0.5498938800000001,0.60701972,0.5678896400000001,0.71209
5644.5,0.55126024,0.54568924,0.6131736400000001,0.46758592,0.52987284,0.6049247999999999,0.5508844,0.60924044,0.57634576,0.71669552
5672.5,0.55233256,0.54653956,0.6160847599999999,0.4671024,0.5303786800000001,0.60637404,0.55192332,0.61167008,0.5732378400000001,0.71960596
5700.5,0.5532771599999999,0.54728336,0.61908596,0.46612763999999995,0.53097304,0.60757448,0.55280852,0.6128429200000001,0.5767448,0.7215433200000001
5728.5,0.5541175599999999,0.5481876400000001,0.6205974400000001,0.46582784,0.53135496,0.60872064,0.55368156,0.61366436,0.5682723199999999,0.72277916
5756.5,0.55523504,0.54890116,0.62294508,0.4647864,0.5311425599999999,0.60978008,0.554656,0.617548,0.5795500400000001,0.72607624
5784.5,0.55629588,0.5496856800000001,0.62598324,0.4640052,0.53063352,0.61053808,0.55560384,0.62101888,0.57507746,0.7290266400000001
