,folder,rn,N_i,N_f,N_rs,N_rd,v_i,v_f,v_rs,v_rd,R0_i,R0_f,R0_rs,R0_rd,eta_i,eta_f,eta_rs,eta_rd,rp_i,rp_f,rp_rs,rp_rd,ts,force,T,runs,rho,gamma,sa,rdis,seed,R0_ramp,bb_a,bb_v,ou_d,ou_v,ou_l,ou_u
1636,./data/backup-01-11-5,data_1636,596670.9309095275,596670.9309095275,10,10,0.0,0.0,10,10,0.1531779354432583,1.0,10,10.0,0.041651536842673365,0.041651536842673365,10,10.0,0.36171456375075306,0.36171456375075306,10,10,7,none,20,1,0.0769,0.1667,0.3,100,196156,bb,1.1494106823447598,1e-05,0.01,1e-05,0,1
1637,./data/backup-01-11-5,data_1637,907537.4309034537,907537.4309034537,10,10,0.0,0.0,10,10,0.4538488884248616,1.0,10,10.0,0.09803850614046994,0.09803850614046994,10,10.0,0.42132859908089726,0.42132859908089726,10,10,7,none,20,1,0.0769,0.1667,0.3,100,228285,bb,4.5473155682667725,1e-05,0.01,1e-05,0,1
1638,./data/backup-01-11-5,data_1638,116872.30768569902,116872.30768569902,10,10,0.0,0.0,10,10,0.7672493959624495,1.0,10,10.0,0.04123737405273522,0.04123737405273522,10,10.0,0.0892580378461889,0.0892580378461889,10,10,7,none,20,1,0.0769,0.1667,0.3,100,533297,bb,3.0602780279100736,1e-05,0.01,1e-05,0,1
1639,./data/backup-01-11-5,data_1639,2685518.1279519186,2685518.1279519186,10,10,0.0,0.0,10,10,0.7514937734523875,1.0,10,10.0,0.04331126610918368,0.04331126610918368,10,10.0,0.19169458583337182,0.19169458583337182,10,10,7,none,20,1,0.0769,0.1667,0.3,100,942127,bb,0.9493970664352662,1e-05,0.01,1e-05,0,1
1640,./data/backup-01-11-5,data_1640,88959.33281480624,88959.33281480624,10,10,0.0,0.0,10,10,0.26329208474090293,1.0,10,10.0,0.05977664734933807,0.05977664734933807,10,10.0,0.4485729275422561,0.4485729275422561,10,10,7,none,20,1,0.0769,0.1667,0.3,100,1032203,bb,0.5783216390215713,1e-05,0.01,1e-05,0,1
1641,./data/backup-01-11-5,data_1641,108417.2405482718,108417.2405482718,10,10,0.0,0.0,10,10,0.7981861949949889,1.0,10,10.0,0.18166737028506985,0.18166737028506985,10,10.0,0.428276645053253,0.428276645053253,10,10,7,none,20,1,0.0769,0.1667,0.3,100,685028,bb,0.9919083840061922,1e-05,0.01,1e-05,0,1
1642,./data/backup-01-11-5,data_1642,71435.13351399906,71435.13351399906,10,10,0.0,0.0,10,10,0.36505254889214656,1.0,10,10.0,0.0376031718563387,0.0376031718563387,10,10.0,0.39510074919046495,0.39510074919046495,10,10,7,none,20,1,0.0769,0.1667,0.3,100,424075,bb,1.1101258776619023,1e-05,0.01,1e-05,0,1
1643,./data/backup-01-11-5,data_1643,671582.6248383622,671582.6248383622,10,10,0.0,0.0,10,10,0.4301318580344464,1.0,10,10.0,0.03679695281655259,0.03679695281655259,10,10.0,0.21832451057191918,0.21832451057191918,10,10,7,none,20,1,0.0769,0.1667,0.3,100,1018675,bb,4.154268656284173,1e-05,0.01,1e-05,0,1
1644,./data/backup-01-11-5,data_1644,610779.4465607301,610779.4465607301,10,10,0.0,0.0,10,10,0.45357287753073716,1.0,10,10.0,0.05254565500960073,0.05254565500960073,10,10.0,0.38558966349610163,0.38558966349610163,10,10,7,none,20,1,0.0769,0.1667,0.3,100,841595,bb,0.4005371757037089,1e-05,0.01,1e-05,0,1
1645,./data/backup-01-11-5,data_1645,268366.4666170845,268366.4666170845,10,10,0.0,0.0,10,10,0.5460295011909855,1.0,10,10.0,0.03631459666720267,0.03631459666720267,10,10.0,0.3690171979754689,0.3690171979754689,10,10,7,none,20,1,0.0769,0.1667,0.3,100,820265,bb,2.117687001127625,1e-05,0.01,1e-05,0,1
